city,delta_journeys_per_yr,rail_kg_per_pax,saving_vs_air_kg_per_pax,all_air_saving_ktonnes,all_car_saving_ktonnes,all_induced_cost_ktonnes,breakeven_induced_share_pct
Edinburgh,831692,13.790263175964,151.2,125.8,98.7,-11.5,90.7
Newcastle,256361,10.218386650085,103.03,26.4,20.7,-2.6,90.0
