grp,year,reduced_share
Clean donors,2021,0.4700449807640265
Clean donors,2022,0.4747586074087488
Clean donors,2023,0.4874686039295859
Clean donors,2024,0.4950546133732948
ECML controls,2021,0.7061324908983683
ECML controls,2022,0.730376615310776
ECML controls,2023,0.7187886955783597
ECML controls,2024,0.7031378844292526
Lumo stops,2021,0.7480580760145481
Lumo stops,2022,0.751384751887322
Lumo stops,2023,0.7532560187487952
Lumo stops,2024,0.7339659167933692
